text,true_emotion,predicted_emotion
@komal_sidhnani true...\nThey r burning with other's pleasure!\nPpl in true love happiness everywhere _😃,anger,joy
@TrussElise Obama must be fuming.. lol,anger,joy
@__NETFLIXNCHILL I fuck with madden way harder,anger,joy
"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant #angry",anger,anger
"Ananya just grabbed a bible, opened it, started reading, and then said 'where do they talk about burning people?'",anger,fear
Ok scrubbed hands 5 times before trying to put them in.\nEyeballs #burning \n#EvenMoreBlind accidentally scared the #cat whilst #screeching,anger,fear
"Note to self ~ Stop laughing at things that offend you, it's ok to get mad at people \n#NoteToSelf #offended #mad #upset",anger,anger
It's the most magical time of the year......Xmas party announced and the #outrage commences. Gotta love Silicon Valley millennials.,anger,anger
@SSheil coincidentally watched Ulzana's Raid last night - brutally indignant filmmaking.,anger,anger
@TrueAggieFan oh so that's where Brian was! Where was my invite? #offended,anger,anger
"Just watched Django Unchained, Other people may frown, but I titter in delight! 2/5",anger,joy
Eat my ass' is no longer an insult,anger,anger
Having a baby born too soon is #lifechanging 6 years on and it feels like only yesterday #sad #happy  #emotionalrollercoaster,anger,sadness
"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. ",anger,anger
@DJ_JeanFranko growl!!!,anger,anger
Sting is just too damn earnest for early morning listening. ,anger,sadness
My eyes have been dilated. I hate the world right now with the rage of a thousand fiery dragons. I need a drink.,anger,anger
@Jen_ny69 People will always get offended everyone's situation is different! Just because we have kids doesn't mean we have to settle,anger,anger
@ArcticFantasy I would have almost took offense to this if I actually snapped you,anger,anger
@RealJamesWoods @KennyCoble saddest part of this whole mess is that all of this #anger is #misdirected they should march 2 the #WhiteHouse,anger,sadness
@BuzzFeed so this houses will get into my instestines and scare my poop and I'll shit my pants?,fear,fear
@mikefreemanNFL \nIsn't OBrien supposed to be some sort of offensive genius ,fear,anger
Watching It Follows.  This is a super freaky movie.  #scary,fear,fear
Hillary Clinton looked the other way to the Saudi war on women and their terror financing because they bought her off.,fear,anger
This is #horrible: Lewis Dunk has begun networking #a Neo-Geo with a his holiday home in Mexico.,fear,sadness
"@soozclifford Sure have... Sydney are too tough, too quick and their 'team' pressure is too much for the Cats to handle. Motlop/Cowan ",fear,sadness
@AttentiAlGatto LOL! Why would it scare me? It doesn't make any sense at all but it doesn't scare me! {chuckles},fear,joy
I have been seeing terrible terrible prescriptions this week. What's going on?,fear,sadness
I want to be a woman who #overcomes obstacles by tackling them in #faith instead of tiptoeing around them in #fear. Renee Swope,fear,fear
@fatgirlhealthy @MBSCBILL ....so that what do to use violence and intimidation for a polictical agenda.; aka terrorism?,fear,anger
Another fun fact: i am afraid,fear,fear
Why upping rooms makes a few apprehend leaving out charcoal ownership: UnZU,fear,fear
The moment you bring her to meet your best friend and you're nervous af! 😬😆 #nervous #thefriendtest,fear,fear
"@chutneysupercat hi lovely brownie, MM is calling me tuppytupperware.. its awful",fear,sadness
"If i start growing out my mustache now, I can be Pablo Escobar for Halloween!!!",fear,joy
@hollywooddivas @TMZ_Sports Idiots like Larry Sanders scare us All!How can Morons these days Rush 2 Judge #Police w/o all facts yet?FU thugs,fear,anger
I know this is going to be one of those nights where it takes an Act of God to fall asleep. ,fear,fear
Rooney shocking attempted cross,fear,sadness
@ReaganBattalion That's a terrible thing to accuse Scott Baio of.,fear,sadness
Bout ta get my @dontbreathe on up in here! @WarrenTheaters #nervous #icantholdmybreaththatlong,fear,fear
@yungdoujin wouldn't that basically be sparkling water,joy,joy
"I'm absolutely in love with Laurie Hernandez, she's so adorable and is always so cheerful!",joy,joy
"@DocBellsSwan *peers down at you, eyes crinkling with mirth and affection* I do love ye so, my bonnie Belle.",joy,joy
"Imagine how sad LA fans are gona be when they get eliminated...Man that's gonna be Nirvana, a religious experience rejoicing in their misery",joy,joy
"Be it a rainy day, be it cheerful sunshine, I am a Prussian, want nothing to be but a Prussian.:|",joy,joy
"...at your age, the heyday in the blood is tame...' @TheArtofCharm #shakespeareaninsults #hamlet #elizabethan #williamshakespeare",joy,sadness
I hate it when im singing and some idiot thinks they can just join in with me like...this is not fcking glee #MeanRikonaBot,joy,anger
@harrietemmett great minds think alike. #rejoice,joy,joy
@tomlinmayniac starting my new challenge ! A glee poll every day !,joy,joy
"If any trump supporters and Hillary haters wanna chirp some weak minded, pandering liberals just tweet at @EmmyA2 @snickerfritz04",joy,anger
Each day is what you make of it! #goals #challenges #business #goals #optimism #happy #success #photographer #photography #ThursdayThoughts,joy,joy
@tomderivan73 😁...I'll just people watch and enjoy a rare show of optimism,joy,joy
Metal keeps you young and spry and keeps your hair luxurious.\n\nYES\n\nSHUT UP AND LISTEN TO ME,joy,anger
"This tweet is dedicated to my back pain, which I do not understand because I am youthful and spry. Full of life. Vivacious.",joy,sadness
@NateBLoL no it was that clear American naturally flavored sparkling water,joy,joy
Chris would take full responsibility and would want us all to rejoice in the memories we all had with him.,joy,joy
Somebody who has braved the storm is brewing. ,joy,sadness
"A cheerful heart is good medicine, but a broken spirit saps a person's strength.' {Proverbs 17:22} #WednesdayWisdom",joy,joy
Tutoring gives me such an exhilarating feeling. I love helping people 😌,joy,joy
Nawaz Sharif is getting more funnier than @kapilsharmak9 day by day.  #challenge #kashmir #baloch,joy,joy
"Stars, when you shine,\nYou know how I feel.\nScent of the pine, \nYou know how I feel.\nFreedom is mine,\nI know how I feel.\nI'm feelin' good.",sadness,joy
"@KeithOlbermann depressing how despicable Trump, with no policies, campaigning on bigotry &amp; rancour can be so close, evil immoral disaster",sadness,sadness
"@CovinoandRich just heard back2back,  guess that's why they call it the blues &amp; she's got the look, but I can only sing tickle sacks version",sadness,sadness
Chalk dance notation entree manchester inasmuch as corinthian products that discourage drag branding: ARwuEVfqv,sadness,sadness
amateur author Twitter might be the most depressing thing I've ever seen,sadness,sadness
A3: But chronic sadness may mean there are underlying issues than getting sad occassionally over a particular issue (2/2) #mhchat,sadness,sadness
SOBRIETY®   trying to make being sober fashionable….can it be done ? #zeroalcohol #soberoctober #clubsoda #nomorehangovers #sober,sadness,joy
Remembering those day when u still did'nt know kpop n thinking about how sad your life was without it - Kpop fan,sadness,joy
"I'd rather laugh with the rarest genius, in beautiful alliance with his own being, where he kept his sadness. #melancholy",sadness,sadness
If I had a little bit of extra money I would blow the whole paycheck and go to one of the two of @KygoMusic's concerts in LA. #serious,sadness,joy
"Before the year ends I'll probably get master 12s or flu games, true blues, and space jams.",sadness,joy
I can't WAIT to go to work tomorrow with a high as fuck fever. [sarcasm]\nHopefully I'll feel better tomorrow.\nBut I doubt it. #pessimism,sadness,sadness
